user,login,protocol,host,port,remote_root
s_mermaid,s_mermaid,sftp,rudics.thorium.cls.fr,22,.
s_psdmaid,s_psdmaid,sftp,rudics.thorium.cls.fr,22,.
#s_m0056,s_m0056,sftp,rudics.thorium.cls.fr,22,. [dead]
s_m0057,s_m0057,sftp,rudics.thorium.cls.fr,22,.
s_m0075,s_m0075,sftp,rudics.thorium.cls.fr,22,.
s_m0076,s_m0076,sftp,rudics.thorium.cls.fr,22,.
s_m0077,s_m0077,sftp,rudics.thorium.cls.fr,22,.
s_m0080,s_m0080,sftp,rudics.thorium.cls.fr,22,.
s_m0101,s_m0101,sftp,rudics.thorium.cls.fr,22,.
s_m0102,s_m0102,sftp,rudics.thorium.cls.fr,22,.
s_m0095,s_m0095,sftp,rudics.thorium.cls.fr,22,.
s_m0096,s_m0096,sftp,rudics.thorium.cls.fr,22,.
s_m0097,s_m0097,sftp,rudics.thorium.cls.fr,22,.
s_m0098,s_m0098,sftp,rudics.thorium.cls.fr,22,.
s_m0099,s_m0099,sftp,rudics.thorium.cls.fr,22,.
s_m0106,s_m0106,sftp,rudics.thorium.cls.fr,22,.
s_m0107,s_m0107,sftp,rudics.thorium.cls.fr,22,.
s_m0108,s_m0108,sftp,rudics.thorium.cls.fr,22,.
eso,automaid,ftps-explicit,taal.unice.fr,21,eso/
kobeuni,automaid,ftps-explicit,taal.unice.fr,21,kobeuni/
